id,media_id,bidder,amount_raw,amount_eth,currency,timestamp,tx_hash
3724-0x5d1ca02ae83b4007994b49fdc48364be61eff34f,3724,0x5d1ca02ae83b4007994b49fdc48364be61eff34f,300000000000000000,0.3,WETH,2022-01-11 00:48:32,0x8a692ca615713e9b780802fecf721f5caab60d1769e95dd6a7386624a0bca415
2953-0xf244552a7e8033f271394ca022635fcbadc9cba8,2953,0xf244552a7e8033f271394ca022635fcbadc9cba8,790000000000000000,0.79,WETH,2022-01-06 10:14:29,0xeb7852144aae020ad0a4a7af1f7461afc55c551e6dfa4087c4a31683f2b6c56d
3115-0xf244552a7e8033f271394ca022635fcbadc9cba8,3115,0xf244552a7e8033f271394ca022635fcbadc9cba8,400000000000000000,0.4,WETH,2022-01-06 10:12:53,0x101a77085ef34aba57909a738384966d59eeaaa5b8b59aad64ce17b30a518b5c
2880-0xf244552a7e8033f271394ca022635fcbadc9cba8,2880,0xf244552a7e8033f271394ca022635fcbadc9cba8,800000000000000000,0.8,WETH,2022-01-06 10:12:36,0xb56132b7c8675250f93487d9ed56268d0375544e93e8a4973b6048cb8936e0e0
3709-0x7c7c6a6d89abbad81f79bcd7be124428466e331e,3709,0x7c7c6a6d89abbad81f79bcd7be124428466e331e,100000000000000,0.0001,WETH,2022-01-02 17:24:28,0x5ca9f01a753daceadbf8f6c1125bcc1bd2305f8f910c059108319aea08d8e12b
5693-0x1b98b121240f2a1d8cecbb2d86eb616c443a8dc2,5693,0x1b98b121240f2a1d8cecbb2d86eb616c443a8dc2,15000000000000000,0.015,WETH,2022-01-02 08:56:43,0xe8e0fa0e000f121d70e9d149df0dcb9922b60d853c9544f2ab694e151e2b6eb0
3289-0xb6605f98a5562b1ac821bc5f2b75934239e8c6d6,3289,0xb6605f98a5562b1ac821bc5f2b75934239e8c6d6,1100000000000000000,1.1,DAI,2022-01-01 08:14:55,0xc8ae0f797c9c3596bbbc9e63c02f31220edbf82a45b6006e4b6ecc4569c2e99b
6494-0x80d32e303dd70fbba133b915121e6087a9b6e5cb,6494,0x80d32e303dd70fbba133b915121e6087a9b6e5cb,1000000000000000000,1.0,WETH,2021-12-29 23:04:40,0x4622ae20904f305d6777ec0ccb4da2061238640163a5aa64546b67f50f40db68
6098-0x80d32e303dd70fbba133b915121e6087a9b6e5cb,6098,0x80d32e303dd70fbba133b915121e6087a9b6e5cb,667000000000000000,0.667,WETH,2021-12-29 22:56:26,0x76ee3c05e972633738117c63332f577d5ec050137d39779c435cdd4d974f2e57
972-0xea83321a41c69070c971cd9ca193366d6be8ddc4,972,0xea83321a41c69070c971cd9ca193366d6be8ddc4,100000000000000000,0.1,WETH,2021-12-28 22:11:18,0x6dd24a1fcb16e3cec9891cde50dfb38f6423d0b6c116f6e30442d74e3978f6bf
